ticker,gics_sector_name
SFZN SE Equity,Health Care
SGC LN Equity,Industrials
SGE LN Equity,Information Technology
SGL GY Equity,Industrials
SGO FP Equity,Industrials
SGRE SM Equity,Industrials
SGRO LN Equity,Real Estate
SGSN SE Equity,Industrials
SHA GY Equity,Consumer Discretionary
SHB LN Equity,Real Estate
SHBA SS Equity,Financials
SHEL LN Equity,Energy
SHELL NA Equity,Energy
SHI LN Equity,Industrials
SHL GY Equity,Health Care
SHP LN Equity,Health Care
SIE GY Equity,Industrials
SIG LN Equity,Industrials
SIGN SE Equity,Materials
SIKA SE Equity,Materials
SIM DC Equity,Information Technology
SINCH SS Equity,Information Technology
SK FP Equity,Consumer Discretionary
SKAB SS Equity,Industrials
SKFB SS Equity,Industrials
SKG ID Equity,Materials
SKYD GY Equity,Communication Services
SLA LN Equity,Financials
SLHN SE Equity,Financials
SMDS LN Equity,Materials
SMIN LN Equity,Industrials
SMWH LN Equity,Consumer Discretionary
SN/ LN Equity,Health Care
SNG GY Equity,Industrials
SNH GY Equity,Consumer Discretionary
SNI NO Equity,Industrials
SOBI SS Equity,Health Care
SOF BB Equity,Financials
SOI FP Equity,Information Technology
SOLB BB Equity,Materials
SON PL Equity,Consumer Staples
SOON SE Equity,Health Care
SOP FP Equity,Information Technology
SOW GY Equity,Information Technology
SPIE FP Equity,Industrials
SPL PW Equity,Financials
SPM IM Equity,Energy
SPR GY Equity,Communication Services
SPSN SE Equity,Real Estate
SPT LN Equity,Information Technology
SPX LN Equity,Industrials
SQN SE Equity,Financials
SRAIL SE Equity,Industrials
SRCG SE Equity,Communication Services
SREN SE Equity,Financials
SRG IM Equity,Utilities
SRP LN Equity,Industrials
SRS IM Equity,Energy
SRT3 GY Equity,Health Care
SRZ GY Equity,
SSABA SS Equity,Materials
SSABB SS Equity,Materials
SSE LN Equity,Utilities
SSPG LN Equity,Consumer Discretionary
STAN LN Equity,Financials
STB NO Equity,Financials
STERV FH Equity,Materials
STJ LN Equity,Financials
STLAM IM Equity,Consumer Discretionary
STM FP Equity,Information Technology
STMMI IM Equity,Information Technology
STMN SE Equity,Health Care
STORB SS Equity,Industrials
STR AV Equity,Industrials
SU FP Equity,Industrials
SUBC NO Equity,Energy
SUN SE Equity,Industrials
SVITZR DC Equity,Industrials
SVT LN Equity,Utilities
SW FP Equity,Consumer Discretionary
SWECB SS Equity,Industrials
SWEDA SS Equity,Financials
SWMA SS Equity,Consumer Staples
SWON SE Equity,Information Technology
SWVK GY Equity,Information Technology
SXS LN Equity,Information Technology
SY1 GY Equity,Materials
